C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_011.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_011.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_011.jpg, 0, 0, 0, 8.017896E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_113.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_113.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_113.jpg, 0, 0, 0, 7.796983E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_218.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_218.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_218.jpg, 0, 0, 0, 7.826598E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_319.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_319.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_319.jpg, 0, 0, 0, 7.828988E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_421.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_421.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_421.jpg, 0, 0, 0, 7.994327E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_525.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_525.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_525.jpg, 0, 0, 0, 7.864918E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_631.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_631.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_631.jpg, 0, 0, 0, 7.93628E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_735.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_735.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_735.jpg, 0, 0, 0, 8.190344E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_836.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_836.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_836.jpg, 0, 0, 0, 7.883446E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_29_942.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_29_942.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_29_942.jpg, 0, 0, 0, 7.983431E-05
C:\Users\ak977\Downloads\simulator-windows-64\IMG\center_2025_02_22_17_51_30_047.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\left_2025_02_22_17_51_30_047.jpg, C:\Users\ak977\Downloads\simulator-windows-64\IMG\right_2025_02_22_17_51_30_047.jpg, 0, 0.165501, 0, 0.04064408
